Nro,Nombre,Director,Niveles,Dependencia,Orientacion,Direccion,Region,Comuna,Telefono,Pagina
9734,ESCUELA RAUL SAEZ SAEZ,CECILIA DEL PILAR CUMICÁN MARTÍNEZ,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,VERACRUZ 5243,Metropolitana De Santiago,Lo Espejo,4856823,
9736,ESCUELA BASICA BERNARDO O´HIGGINS,ANA MARÍA MAUREIRA CANALES,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,PIO XII 7148,Metropolitana De Santiago,Lo Espejo,24856841,Sin información
9738,COLEGIO PARQUE LAS AMERICAS,CECILIA ANA ISABEL MOLINA NAVARRETE,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,LO OVALLE 3915,Metropolitana De Santiago,Pedro Aguirre Cerda,3965857,Sin información
9740,ESCUELA BASICA REPUBLICA DE LAS FILIPINAS,IVÁN MEZA DEVIA,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,JUPITER 7746,Metropolitana De Santiago,Lo Espejo,4856862,Sin información
9741,ESCUELA BASICA COEDUCACIONAL,MARÍA SOLEDAD ORELLANA PARDO,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,GABRIELA MISTRAL 9340,Metropolitana De Santiago,Lo Espejo,4856871,Sin información
9750,COLEGIO LO ESPEJO,JUAN CARLOS TORRES MARCHANT,Pre-Kinder - 8º Básico,Particular subvencionado,Pre-Kinder - 8º Básico,PIO XII 8057,Metropolitana De Santiago,Lo Espejo,42979379,
9754,INSTITUTO COMERCIAL PARTICULAR LA CISTERNA,ENRIQUE DAVID SARMIENTO BARRERA,I Medio - IV Medio,Particular subvencionado,I Medio - IV Medio,AVDA GOYCOLEA 0210,Metropolitana De Santiago,La Cisterna,25586691,
9757,CENTRO EDUCACIONAL SANTA CLARA,ALDO FABRIZIO VESCOVI CÁCERES,Pre-Kinder - IV Medio,Particular subvencionado,Pre-Kinder - IV Medio,GENERAL FREIRE 236,Metropolitana De Santiago,La Cisterna,25251860,
9758,COLEGIO SANTA ISABEL DE HUNGRIA,JAIME CAICEO ESCUDERO,Pre-Kinder - IV Medio,Particular subvencionado,Pre-Kinder - IV Medio,SANTA ANSELMA 0240 S/N,Metropolitana De Santiago,La Cisterna,5588641,
9759,LICEO LAURA VICUNA,DONINA DEL PILAR RAMÍREZ CORTÉS,1º Básico - IV Medio,Particular subvencionado,1º Básico - IV Medio,GRAN AVENIDA 9042,Metropolitana De Santiago,La Cisterna,25582908,
9766,COLEGIO SANTA MARIA DE LOS ANGELES,ROXANNA VIRGILIA GHEZA PONTARELLI,Kinder - IV Medio,Particular subvencionado,Kinder - IV Medio,GRAN AVENIDA 9439,Metropolitana De Santiago,La Cisterna,25582279,
9767,LICEO MADRE CECILIA LAZZERI,MARTA TERESA VICTORIA MEZA MALIG,Pre-Kinder - IV Medio,Particular subvencionado,Pre-Kinder - IV Medio,AV. PEDRO AGUIRRE CERDA 0291,Metropolitana De Santiago,La Cisterna,7249600,
9768,ESCUELA Y LICEO LIAHONA,ALEJANDRO MAURICIO JIMÉNEZ BRAVO,Pre-Kinder - IV Medio,Particular subvencionado,Pre-Kinder - IV Medio,GRAN AVENIDA 9598 9598,Metropolitana De Santiago,El Bosque,2782740,
9771,CHILEAN EAGLES COLLEGE - LA CISTERNA,JULIO ANTONIO ESCOBAR CISTERNAS,Pre-Kinder - IV Medio,Particular subvencionado,Pre-Kinder - IV Medio,IQUIQUE 7020,Metropolitana De Santiago,La Cisterna,61239965,
9778,ESCUELA JOSE ABELARDO NUNEZ Nº 1,JEANNETTE ALEJANDRA GUTIÉRREZ CIFUENTES,Pre-Kinder - 8º Básico,Particular subvencionado,Pre-Kinder - 8º Básico,LOS AVELLANOS 10721,Metropolitana De Santiago,El Bosque,32813127,
9779,CENTRO EDUCACIONAL SANTA ROSA,LUIS WLADIMIR OYARZÚN ROBLERO,I Medio - IV Medio,Particular subvencionado,I Medio - IV Medio,BLAS VIAL 8450,Metropolitana De Santiago,La Cisterna,23128136,
9780,COLEGIO TENIENTE DAGOBERTO GODOY,MAURICIO ESTEBAN MUÑOZ RAVERA,Pre-Kinder - IV Medio,Particular subvencionado,Pre-Kinder - IV Medio,LAS ARAUCARIAS 10511,Metropolitana De Santiago,El Bosque,37109089,
